订单ID,门店城市,购买渠道,性别,年龄,购买日期,商品编号,收益总额,订单量,商品量
16993,杭州,线下,女,35,2020-09-23,No.902,402,5,5
12325,上海,线上,女,52,2020-09-23,No.902,116,1,2
24759,杭州,线下,男,30,2020-09-23,No.277,138,2,2
20697,杭州,线下,女,30,2020-09-24,No.277,80,1,1
47394,上海,线下,女,30,2020-09-23,No.343,66,2,3
17228,深圳,线下,男,34,2020-09-27,No.005,79,1,1
18754,杭州,线下,女,17,2020-09-24,No.906,33,1,1
23312,北/京,线下,女,32,2020-09-25,No.577,451,3,3
10002,深圳,线下,女,24,2020-09-25,No.343,60,1,1
17673,杭州,线下,女,22,2020-09-24,No.902,200,1,1
26771,深圳,线下,女,20,2020-09-27,No.005,199,2,2
48876,北 京,线下,男,21,2020-09-26,No.005,101,1,1
28218,北/京,线下,男,26,2020-09-26,No.005,101,1,1
33519,杭州,线下,男,16,2020-09-24,No.577,455,3,3
34215,南京 ,线下,女,38,2020-09-23,No.005,81,1,1
51676,北/京,线下,男,33,2020-09-25,No.005,199,1,2
15600,杭州,线下,男,29,2020-09-26,No.277,74,1,1
13423,北 京,线下,女,25,2020-09-24,No.005,100,1,1
50364,深圳,线下,女,42,2020-09-27,No.277,151,2,2
10902,杭州,线下,女,24,2020-09-25,No.343,80,1,1
54215,南京 ,线上,女,55,2020-09-23,No.277,200,1,1
33878,北/京,线下,女,37,2020-09-22,No.005,80,2,2
11811,&nbsp南京,线下,女,36,2020-09-25,No.782,39,1,1
11870,南京 ,线下,女,43,2020-09-26,No.343,80,1,1
38438,深圳,线下,男,36,2020-09-27,No.005,80,1,1
43920,杭州,线下,女,33,2020-09-21,No.005,58,1,1
21328,杭州,线下,女,39,2020-09-26,No.005,60,1,1
16756,南京 ,线下,女,30,2020-09-27,No.906,33,1,1
41351,&nbsp南京,线下,男,35,2020-09-26,No.005,100,1,1
34551,杭州,线下,女,31,2020-09-23,No.277,80,1,1
23065,深圳,线下,女,29,2020-09-26,No.005,100,1,1
44345,武汉,线上,女,35,2020-09-25,No.005,199,2,2
39313,南京 ,线下,女,42,2020-09-25,No.343,142,2,2
11468,北 京,线下,男,22,2020-09-24,No.906,40,1,1
22842,深圳,线下,男,24,2020-09-24,No.005,81,1,1
52536,南京 ,线上,女,38,2020-09-27,No.577,150,1,1
47266,杭州,线下,女,38,2020-09-25,No.005,217,3,5
14846,上海,线下,男,32,2020-09-24,No.005,199,1,2
19352,南京,线下,女,32,2020-09-24,No.005,98,1,1
54463,上海,线下,女,27,2020-09-23,No.277,109,2,2
45812,北 京,线下,女,30,2020-09-22,No.277,1808,8,9
33195,武汉,线下,女,21,2020-09-27,No.005,80,2,2
30995,北 京,线下,女,44,2020-09-23,No.005,80,2,2
17574,杭州,线下,男,41,2020-09-21,No.305,39,1,1
40036,&nbsp南京,线上,男,64,2020-09-26,No.906,140,2,4
39400,武汉,线下,男,26,2020-09-25,No.005,99,1,1
18956,武汉,线下,男,23,2020-09-23,No.005,101,1,1
45309,北/京,线下,女,43,2020-09-24,No.305,81,1,1
32428,南京,线下,女,31,2020-09-23,No.577,199,2,2
32285,武汉,线下,男,27,2020-09-23,No.005,81,1,1
27807,北/京,线下,女,39,2020-09-23,No.277,47,1,1
33793,上海,线下,女,29,2020-09-22,No.343,86,2,4
35200,北/京,线下,男,63,2020-09-27,No.305,39,1,1
17311,深圳,线下,女,32,2020-09-27,No.005,159,2,2
32437,深圳,线下,女,29,2020-09-24,No.173,401,2,2
48048,北 京,线下,女,29,2020-09-26,No.277,59,1,1
52124,&nbsp南京,线下,女,26,2020-09-24,No.343,19,1,1
23249,北 京,线下,男,25,2020-09-22,No.005,76,1,1
22610,武汉,线下,女,42,2020-09-24,No.343,26,1,1
40577,杭州,线下,女,59,2020-09-21,No.305,33,1,1
25938,南京,线下,女,42,2020-09-26,No.005,201,1,2
26488,武汉,线上,男,25,2020-09-24,No.343,48,2,2
44896,北/京,线下,女,45,2020-09-25,No.902,80,1,1
18379,深圳,线下,女,30,2020-09-22,No.277,113,2,2
49011,深圳,线下,女,44,2020-09-27,No.906,80,1,1
14393,上海,线上,女,23,2020-09-25,No.005,80,1,1
23381,深圳,线下,女,33,2020-09-27,No.902,80,1,1
40333,北 京,线下,女,30,2020-09-27,No.343,39,2,2
26456,北/京,线下,女,42,2020-09-25,No.173,200,1,1
49769,南京 ,线上,女,31,2020-09-23,No.343,39,1,1
51470,深圳,线下,女,38,2020-09-27,No.305,40,1,1
20606,上海,线下,男,24,2020-09-23,No.005,203,1,2
47246,北 京,线下,女,27,2020-09-21,No.782,1419,8,8
29470,杭州,线下,女,52,2020-09-26,No.277,204,1,1
13493,杭州,线下,女,28,2020-09-22,No.782,40,1,1
15868,北京,线下,男,24,2020-09-22,No.005,55,1,1
26911,上海,线下,女,28,2020-09-26,No.005,59,1,1
16680,深圳,线下,女,54,2020-09-25,No.902,153,1,1
26536,上海,线下,女,25,2020-09-26,No.005,646,7,8
46460,武汉,线下,女,58,2020-09-27,No.005,81,1,1
49913,深圳,线下,女,36,2020-09-24,No.005,306,2,2
26964,南京 ,线上,女,23,2020-09-26,No.005,80,1,1
51047,杭州,线下,女,21,2020-09-24,No.005,159,1,2
33667,北 京,线下,男,35,2020-09-24,No.005,101,1,1
47216,杭州,线下,女,27,2020-09-26,No.005,100,1,1
31569,南京 ,线下,女,26,2020-09-21,No.577,259,4,4
52157,杭州,线下,女,29,2020-09-23,No.005,60,1,1
34824,杭州,线下,女,19,2020-09-26,No.005,80,1,1
50532,北/京,线下,女,33,2020-09-26,No.305,101,2,3
48288,杭州,线下,男,28,2020-09-24,No.305,67,2,2
41121,武汉,线上,女,24,2020-09-27,No.305,99,2,2
52846,武汉,线上,女,29,2020-09-23,No.277,1583,6,9
52013,杭州,线下,女,21,2020-09-23,No.577,344,2,2
15695,杭州,线下,女,39,2020-09-26,No.577,358,2,2
17623,北 京,线下,女,25,2020-09-27,No.902,200,1,1
36968,武汉,线下,男,66,2020-09-26,No.005,60,1,1
24903,深圳,线下,男,37,2020-09-27,No.305,101,1,1
26311,上海,线上,女,62,2020-09-21,No.902,99,1,1
51716,杭州,线下,男,28,2020-09-24,No.005,80,1,1
37290,深圳,线下,女,30,2020-09-25,No.005,79,1,1
40221,上海,线下,女,61,2020-09-26,No.305,39,1,1
11885,北京,线下,女,38,2020-09-26,No.782,200,1,1
28425,北/京,线下,女,23,2020-09-27,No.005,201,1,2
30778,上海,线下,女,48,2020-09-27,No.005,221,3,3
24038,深圳,线下,女,31,2020-09-23,No.277,38,1,1
22972,深圳,线下,女,39,2020-09-25,No.005,59,1,1
23699,北京,线下,女,33,2020-09-24,No.277,124,3,3
22706,北京,线下,男,35,2020-09-27,No.305,100,1,3
14142,&nbsp南京,线下,女,33,2020-09-27,No.005,81,1,1
41412,上海,线下,男,38,2020-09-26,No.005,60,1,1
28395,深圳,线下,男,33,2020-09-22,No.277,79,1,1
35123,北/京,线下,女,19,2020-09-25,No.005,81,1,1
49132,&nbsp南京,线上,男,25,2020-09-27,No.005,80,1,1
36680,武汉,线上,女,27,2020-09-26,No.277,56,1,1
52593,武汉,线下,男,21,2020-09-26,No.005,509,4,5
50985,南京 ,线下,女,39,2020-09-27,No.305,40,1,1
36054,武汉,线上,男,34,2020-09-24,No.343,26,1,1
36251,北京,线下,男,26,2020-09-22,No.005,60,1,1
46266,南京 ,线下,女,36,2020-09-25,No.277,894,5,5
54200,杭州,线下,女,46,2020-09-26,No.277,135,2,2
51296,深圳,线下,男,49,2020-09-25,No.173,153,1,1
30992,北京,线下,女,30,2020-09-25,No.277,816,4,4
20203,武汉,线下,女,29,2020-09-23,No.005,80,1,1
41081,深圳,线下,女,40,2020-09-24,No.782,39,1,1
45414,深圳,线下,女,29,2020-09-27,No.577,401,2,2
13665,武汉,线上,女,26,2020-09-24,No.343,19,1,1
28683,杭州,线下,女,36,2020-09-22,No.577,200,1,1
18039,上海,线上,女,46,2020-09-21,No.277,19,1,1
17847,深圳,线下,女,36,2020-09-25,No.005,461,3,3
35433,北 京,线下,女,43,2020-09-27,No.005,80,1,1
10195,上海,线下,女,47,2020-09-26,No.343,39,1,1
14599,北 京,线下,男,39,2020-09-26,No.005,60,1,1
10631,杭州,线下,男,38,2020-09-27,No.343,26,1,1
40670,北 京,线下,女,27,2020-09-26,No.577,204,1,1
43876,武汉,线下,女,34,2020-09-21,No.005,79,1,1
27746,&nbsp南京,线下,女,51,2020-09-24,No.005,79,1,1
17852,武汉,线下,男,30,2020-09-24,No.782,303,1,2
24368,北 京,线下,女,36,2020-09-24,No.782,204,1,1
46151,&nbsp南京,线下,女,47,2020-09-22,No.005,79,1,1
47035,杭州,线下,女,34,2020-09-24,No.305,39,1,1
50127,南京 ,线下,女,41,2020-09-23,No.277,145,1,1
22585,武汉,线上,女,18,2020-09-26,No.577,204,1,1
21367,北/京,线下,女,34,2020-09-26,No.906,39,1,1
15000,上海,线上,男,36,2020-09-26,No.005,153,1,1
31305,杭州,线下,男,50,2020-09-24,No.005,80,1,1
39755,武汉,线下,男,34,2020-09-23,No.005,79,1,1
10168,深圳,线下,女,65,2020-09-26,No.577,99,1,1
13441,杭州,线下,女,20,2020-09-26,No.173,153,1,1
38666,&nbsp南京,线下,男,24,2020-09-27,No.782,39,1,1
26537,深圳,线下,女,32,2020-09-23,No.782,800,5,5
37991,深圳,线下,女,55,2020-09-26,No.305,99,1,1
37634,上海,线上,女,35,2020-09-27,No.782,354,2,2
15872,上海,线下,女,49,2020-09-24,No.005,99,1,1
42639,深圳,线下,男,64,2020-09-26,No.902,460,3,3
46485,北/京,线下,女,33,2020-09-26,No.005,59,1,1
29198,上海,线下,女,59,2020-09-26,No.902,80,1,1
33170,南京 ,线上,女,34,2020-09-24,No.005,99,1,1
20260,深圳,线下,女,31,2020-09-27,No.906,39,1,1
10568,上海,线上,男,62,2020-09-27,No.577,201,2,2
14641,南京 ,线上,女,35,2020-09-24,No.305,32,1,1
19629,杭州,线下,男,69,2020-09-24,No.906,40,1,1
39474,杭州,线下,女,44,2020-09-21,No.005,101,1,1
41176,北京,线下,女,25,2020-09-26,No.005,631,6,7
42297,南京 ,线上,女,44,2020-09-23,No.005,162,2,2
43292,北 京,线下,女,42,2020-09-24,No.173,455,2,3
49059,北/京,线下,男,40,2020-09-22,No.005,101,1,1
50182,北京,线下,女,36,2020-09-27,No.902,1870,18,24
51264,武汉,线下,女,36,2020-09-21,No.005,40,1,1
40165,武汉,线下,女,30,2020-09-22,No.005,399,4,4
49927,&nbsp南京,线下,女,22,2020-09-24,No.902,100,1,1
36162,上海,线下,男,40,2020-09-26,No.005,79,1,1
46519,北/京,线下,男,28,2020-09-24,No.343,26,1,1
35746,南京 ,线下,女,38,2020-09-27,No.906,33,1,1
52605,&nbsp南京,线下,保密,保密,2020-09-26,No.005,80,1,1
44581,北 京,线下,女,41,2020-09-27,No.305,40,1,1
49071,武汉,线上,女,28,2020-09-25,No.005,162,2,2
24718,深圳,线下,男,62,2020-09-25,No.005,40,1,1
12722,深圳,线下,女,33,2020-09-25,No.005,142,2,2
35072,南京,线下,女,56,2020-09-27,No.343,79,1,3
49063,深圳,线下,女,37,2020-09-24,No.782,39,1,1
19811,武汉,线下,女,51,2020-09-22,No.277,201,3,3
27063,&nbsp南京,线下,男,23,2020-09-24,No.343,99,2,4
32874,北 京,线下,男,65,2020-09-26,No.005,100,1,1
24178,上海,线下,女,51,2020-09-24,No.005,305,3,3
14001,上海,线下,女,30,2020-09-24,No.005,100,1,1
32478,&nbsp南京,线下,女,42,2020-09-27,No.277,19,1,1
41263,北 京,线下,女,31,2020-09-22,No.173,404,3,3
37250,武汉,线下,女,39,2020-09-22,No.005,120,2,2
35737,杭州,线下,男,20,2020-09-24,No.277,79,1,1
12474,杭州,线下,女,58,2020-09-23,No.277,161,2,2
28216,&nbsp南京,线上,女,24,2020-09-24,No.343,54,1,2
30708,&nbsp南京,线下,女,32,2020-09-21,No.005,162,2,2
20584,深圳,线下,女,42,2020-09-21,No.005,79,1,1
16890,武汉,线上,女,20,2020-09-26,No.005,199,2,2
22138,上海,线下,女,32,2020-09-23,No.005,156,4,4
54481,杭州,线下,女,39,2020-09-24,No.005,200,1,1
18490,深圳,线下,女,57,2020-09-24,No.305,98,1,1
51444,杭州,线下,女,31,2020-09-27,No.005,58,1,1
51700,武汉,线上,女,28,2020-09-26,No.005,303,3,3
54394,武汉,线上,男,31,2020-09-23,No.005,59,1,1
12075,上海,线下,女,18,2020-09-25,No.005,55,1,1
13668,深圳,线下,男,49,2020-09-27,No.277,235,2,3
12743,杭州,线下,女,42,2020-09-26,No.005,79,1,1
53942,上海,线上,女,41,2020-09-27,No.277,1677,10,10
17617,深圳,线下,女,30,2020-09-27,No.277,49,1,1
37055,南京 ,线上,女,38,2020-09-26,No.005,100,1,1
15379,上海,线下,女,66,2020-09-22,No.277,136,2,2
53291,武汉,线下,男,21,2020-09-24,No.005,306,4,6
31500,北京,线下,女,22,2020-09-26,No.005,199,2,2
13007,北/京,线下,女,38,2020-09-26,No.343,79,1,1
29568,北 京,线下,男,24,2020-09-27,No.902,282,3,3
41938,深圳,线下,男,62,2020-09-25,No.005,203,2,2
29140,深圳,线下,男,34,2020-09-27,No.005,60,1,1
11653,杭州,线下,女,41,2020-09-26,No.343,27,1,1
54363,上海,线下,女,30,2020-09-26,No.005,336,2,3
24882,杭州,线下,女,51,2020-09-26,No.277,190,1,1
28784,北 京,线下,女,41,2020-09-23,No.902,151,1,1
21966,上海,线下,女,27,2020-09-26,No.005,99,1,1
29170,深圳,线下,男,26,2020-09-26,No.277,80,1,1
28844,&nbsp南京,线下,男,27,2020-09-25,No.005,100,1,1
10671,深圳,线下,女,30,2020-09-23,No.005,101,1,1
38045,杭州,线下,女,25,2020-09-25,No.343,46,2,2
22672,上海,线下,男,24,2020-09-27,No.173,151,1,1
19019,深圳,线下,男,34,2020-09-27,No.005,100,1,1
21408,深圳,线下,女,37,2020-09-25,No.005,203,1,2
33154,北 京,线下,女,25,2020-09-25,No.005,60,1,1
52720,北 京,线下,女,30,2020-09-27,No.906,67,2,2
20671,武汉,线下,女,33,2020-09-23,No.277,80,1,1
41137,南京 ,线上,女,31,2020-09-27,No.005,99,1,1
44362,武汉,线上,女,44,2020-09-26,No.005,151,1,1
17234,北/京,线下,男,25,2020-09-26,No.005,79,1,1
51760,深圳,线下,女,33,2020-09-26,No.343,81,1,1
44768,武汉,线下,男,41,2020-09-26,No.005,79,1,1
36026,北 京,线下,男,39,2020-09-26,No.277,150,1,1
10556,北 京,线下,男,28,2020-09-23,No.005,183,2,2
51817,深圳,线下,女,28,2020-09-23,No.005,100,1,1
52367,深圳,线下,女,40,2020-09-24,No.782,563,3,3
50313,武汉,线下,女,35,2020-09-24,No.005,101,1,1
52630,北/京,线下,男,63,2020-09-27,No.005,201,4,4
11523,深圳,线下,女,36,2020-09-23,No.005,101,1,1
36545,上海,线上,女,34,2020-09-25,No.005,99,1,1
15633,南京 ,线上,女,44,2020-09-25,No.005,201,2,2
17682,南京 ,线下,男,24,2020-09-22,No.005,69,1,1
48690,北京,线下,女,67,2020-09-26,No.782,153,1,1
32926,武汉,线下,男,25,2020-09-25,No.005,80,1,1
33247,武汉,线下,女,43,2020-09-26,No.005,59,1,1
28078,深圳,线下,男,28,2020-09-26,No.277,174,2,3
54183,南京 ,线上,女,21,2020-09-24,No.005,302,3,3
41161,武汉,线上,男,64,2020-09-25,No.902,303,2,2
28512,杭州,线下,女,40,2020-09-27,No.005,79,2,2
38089,南京 ,线上,男,24,2020-09-27,No.005,99,1,1
21261,南京 ,线上,男,19,2020-09-24,No.577,204,1,1
27181,杭州,线下,女,57,2020-09-23,No.005,59,1,1
27023,深圳,线下,男,37,2020-09-21,No.005,81,1,1
24597,南京 ,线下,男,31,2020-09-25,No.906,40,1,1
24121,深圳,线下,男,25,2020-09-24,No.343,27,1,1
42227,深圳,线下,女,24,2020-09-23,No.005,81,1,1
