id,orderID,userID,goodsID,orderAmount,payment,chanelID,platfromType,orderTime,payTime,chargeback
43571,sys-2019-219421599,user-153632,PR000969,950.79,939.66,渠道-0530,We c hatMP,2019-06-27 20:58:53,2019-06-27 20:59:19,否
87450,sys-2019-272662882,user-194983,PR000601,735.21,735.21,渠道-9527,APP ,2019-11-15 16:00:45,2019-11-15 16:01:46,否
14277,sys-2019-311399734,user-232928,PR000107,1166.9,1133.78,渠道-0568,Wech atMP,2019-03-16 18:05:31,2019-03-16 18:05:56,否
76651,sys-2019-255027764,user-165921,PR000159,735.71,710.0,渠道-0396,APP ,2019-10-12 18:06:36,2019-10-12 18:06:50,否
14352,sys-2019-321444991,user-189668,PR000112,2615.9,2615.9,渠道-0530,WEB ,2019-03-16 21:39:46,2019-03-16 21:40:11,否
94412,sys-2019-282963826,user-116700,PR000840,361.06,297.78,渠道-0465,APP ,2019-12-03 14:28:00,2019-12-03 14:28:13,否
5144,sys-2019-324534137,user-231391,PR000854,1594.8,1587.8,渠道-9527,Wech atMP,2019-01-24 21:13:07,2019-01-24 21:13:32,否
46186,sys-2019-258411070,user-107437,PR000877,189.15,153.46,渠道-0283,Wech atMP,2019-07-06 09:25:48,2019-07-06 09:26:02,是
64425,sys-2019-216172721,user-193453,PR000386,201.89,201.89,渠道-0765,APP ,2019-09-02 14:51:22,2019-09-02 14:51:33,否
63286,sys-2019-310312010,user-294123,PR000501,1736.93,1731.84,渠道-0530,AP P ,2019-08-29 19:28:08,2019-08-29 19:30:21,是
43378,sys-2019-294386422,user-217878,PR000929,630.28,617.39,渠道-9527,APP ,2019-06-27 12:48:05,2019-06-27 12:48:14,否
100621,sys-2019-309956476,user-271243,PR000196,648.51,643.91,渠道-0985,Wech atMP,2019-12-21 13:43:25,2019-12-21 13:43:38,是
89706,sys-2019-285438179,user-238841,PR000573,509.89,490.92,渠道-0465,APP ,2019-11-21 13:42:24,2019-11-21 13:42:43,否
8067,sys-2019-339089258,user-157389,PR000433,826.64,762.38,渠道-0985,WEB ,2019-02-10 12:33:10,2019-02-10 13:01:44,否
83384,sys-2019-258863012,user-133312,PR000387,1594.37,1581.55,渠道-9527,Wech atMP,2019-11-03 19:29:51,2019-11-03 19:30:08,否
9513,sys-2019-307067904,user-245328,PR000920,2026.07,1976.92,渠道-0765,Wech atMP,2019-02-18 18:34:47,2019-02-18 18:35:54,否
23807,sys-2019-310983253,user-169693,PR000396,680.84,680.84,渠道-0985,APP ,2019-04-29 18:46:22,2019-04-29 18:46:44,否
100712,sys-2019-362758377,user-191129,PR000683,253.79,253.79,渠道-0530,Wech atMP,2019-12-21 16:17:20,2019-12-21 16:23:08,是
89758,sys-2019-309868103,user-276402,PR000831,2440.63,2303.18,渠道-0530,APP ,2019-11-21 15:14:28,2019-11-21 15:14:50,否
64675,sys-2019-282094290,user-119327,PR000329,628.6,548.01,渠道-0896,APP ,2019-09-02 22:10:29,2019-09-02 22:10:48,是
44467,sys-2019-320201106,user-224468,PR000307,422.47,422.47,渠道-0007,Wech atMP,2019-06-30 15:33:32,2019-06-30 15:41:02,否
99013,sys-2019-378773464,user-264308,PR000711,1052.0,1020.97,渠道-0396,We c hatMP,2019-12-16 12:55:22,2019-12-16 12:55:41,是
75353,sys-2019-287203223,user-180163,PR000201,587.8,324.22,渠道-0168,AP P ,2019-10-07 16:43:11,2019-10-07 16:43:26,否
79604,sys-2019-249126483,user-163559,PR000840,472.77,435.61,渠道-0765,WEB ,2019-10-22 11:09:56,2019-10-22 11:11:14,否
43204,sys-2019-391695302,user-159773,PR000632,679.79,652.85,渠道-0896,Wech atMP,2019-06-26 18:46:00,2019-06-26 18:47:43,否
96591,sys-2019-380218124,user-118094,PR000895,656.98,573.46,渠道-0318,We c hatMP,2019-12-09 14:16:13,2019-12-09 14:16:27,是
39943,sys-2019-303195036,user-121126,PR000712,1547.59,1432.5,渠道-0330,APP ,2019-06-17 23:42:13,2019-06-18 00:00:00,否
58752,sys-2019-199922268,user-172413,PR000263,3889.78,3767.95,渠道-0530,Wech atMP,2019-08-16 14:11:16,2019-08-16 14:12:24,否
95686,sys-2019-290281568,user-119645,PR000993,771.37,736.83,渠道-0396,APP ,2019-12-07 12:57:59,2019-12-07 12:58:11,否
18450,sys-2019-330192568,user-154564,PR000996,1710.86,1653.4,渠道-9527,Wech atMP,2019-04-04 20:58:28,2019-04-04 20:58:39,否
24443,sys-2019-263931373,user-149413,PR000322,104.94,104.94,渠道-0530,APP ,2019-05-01 18:07:48,2019-05-01 18:08:29,否
79058,sys-2019-329654243,user-243904,PR000840,2426.69,2415.48,渠道-0168,APP ,2019-10-20 21:42:24,2019-10-20 21:42:33,否
71858,sys-2019-229270522,user-129433,PR000158,218.65,218.65,渠道-0568,Wech atMP,2019-09-26 16:59:49,2019-09-26 16:59:57,否
72985,sys-2019-222203979,user-122874,PR000494,104.04,56.54,渠道-0789,Wech atMP,2019-09-30 13:25:58,2019-09-30 13:26:09,否
38999,sys-2019-374561923,user-108610,PR000550,505.45,471.28,渠道-0985,APP ,2019-06-15 12:29:14,2019-06-15 12:30:30,否
13152,sys-2019-282404720,user-165701,PR000142,770.79,699.68,渠道-0530,Wech atMP,2019-03-11 11:36:32,2019-03-11 11:36:45,否
48056,sys-2019-236373452,user-108358,PR000340,453.39,453.39,渠道-0465,APP ,2019-07-12 18:13:51,2019-07-12 18:14:10,否
19573,sys-2019-367549482,user-258088,PR000936,552.56,455.94,渠道-0985,WEB ,2019-04-10 14:48:10,2019-04-10 14:50:42,否
64288,sys-2019-284418864,user-155590,PR000396,1759.35,1675.06,渠道-0765,Wech atMP,2019-09-02 12:04:34,2019-09-02 12:05:12,否
86834,sys-2019-346434436,user-195658,PR000345,1490.84,1460.22,渠道-0789,ALiM P,2019-11-13 19:20:29,2019-11-13 19:21:53,否
41713,sys-2019-315458609,user-245031,PR000885,247.17,247.17,渠道-0985,APP ,2019-06-22 21:57:31,2019-06-22 21:58:07,否
103138,sys-2019-356580036,user-128768,PR000060,651.47,624.65,渠道-0191,APP ,2019-12-28 13:11:49,2019-12-28 13:12:15,是
65444,sys-2019-295467186,user-280666,PR000334,603.36,481.21,渠道-0283,Wech atMP,2019-09-05 11:48:04,2019-09-05 11:49:29,否
9833,sys-2019-302388416,user-195428,PR000985,1324.59,1323.34,渠道-0465,Wech atMP,2019-02-20 18:34:47,2019-02-20 18:35:01,否
43101,sys-2019-271443677,user-178436,PR000613,535.65,73.71,渠道-0765,Wech atMP,2019-06-26 14:15:44,2019-06-26 14:15:44,否
98240,sys-2019-344671695,user-275577,PR000796,474.53,445.96,渠道-0896,Wech atMP,2019-12-14 13:35:14,2019-12-14 13:35:23,否
88137,sys-2019-317545982,user-262476,PR000728,171.88,171.88,渠道-0568,Wech atMP,2019-11-17 04:46:17,2019-11-17 04:46:44,否
83956,sys-2019-408656099,user-183504,PR000579,852.33,786.95,渠道-0765,APP ,2019-11-05 15:29:32,2019-11-05 15:29:50,否
76034,sys-2019-259995458,user-201636,PR000301,2510.58,2265.01,渠道-9527,APP ,2019-10-09 17:48:28,2019-10-09 17:48:51,否
99186,sys-2019-288964136,user-180279,PR000679,2329.67,2323.13,渠道-0007,WEB ,2019-12-16 19:32:07,2019-12-16 19:32:39,否
46131,sys-2019-253166761,user-107627,PR000689,1124.05,1124.05,渠道-0530,ALiM P,2019-07-05 20:37:19,2019-07-05 20:38:21,否
29802,sys-2019-354603533,user-193629,PR000845,1221.76,985.61,渠道-0765,WEB ,2019-05-20 07:02:14,2019-05-20 07:02:28,是
103474,sys-2019-332642132,user-176604,PR000702,2843.83,2811.34,渠道-0985,WEB ,2019-12-29 11:47:47,2019-12-29 11:48:14,否
9796,sys-2019-358730284,user-133512,PR000292,542.61,542.61,渠道-0896,Wech atMP,2019-02-20 15:03:19,2019-02-20 15:04:17,否
39800,sys-2019-302441508,user-122408,PR000914,3375.79,3087.01,渠道-0283,Wech atMP,2019-06-17 18:30:45,2019-06-17 18:30:57,否
31872,sys-2019-330116735,user-272387,PR000485,695.85,695.85,渠道-0789,APP ,2019-05-25 23:05:14,2019-05-25 23:05:37,否
28180,sys-2019-334959430,user-156877,PR000727,2112.64,2070.99,渠道-0985,Wech atMP,2019-05-14 18:52:18,2019-05-14 18:52:33,否
73674,sys-2019-283292492,user-103744,PR000466,2330.61,2243.31,渠道-9527,Wech atMP,2019-10-01 20:16:37,2019-10-01 20:16:53,否
57414,sys-2019-305781393,user-116335,PR000174,305.64,305.64,渠道-0530,APP ,2019-08-12 13:56:25,2019-08-12 13:56:38,否
49210,sys-2019-262213972,user-111562,PR000835,514.06,514.06,渠道-0168,AP P ,2019-07-16 17:24:39,2019-07-16 17:26:22,否
41885,sys-2019-250789985,user-102060,PR000936,530.33,488.62,渠道-9527,APP ,2019-06-23 14:36:58,2019-06-23 14:37:14,否
63800,sys-2019-352072739,user-299920,PR000821,898.35,843.63,渠道-0318,APP ,2019-08-31 20:22:18,2019-08-31 20:22:28,是
78834,sys-2019-255300990,user-283353,PR000719,936.06,910.23,渠道-0396,APP ,2019-10-20 12:24:37,2019-10-20 12:25:27,否
13621,sys-2019-355729846,user-266478,PR000802,3245.62,3245.62,渠道-0283,APP ,2019-03-12 21:12:04,2019-03-12 21:12:35,否
58951,sys-2019-216686345,user-199896,PR000457,1014.0,969.91,渠道-0191,APP ,2019-08-17 00:09:45,2019-08-17 00:10:00,是
98232,sys-2019-319585765,user-167494,PR000751,332.56,332.56,渠道-0530,WEB ,2019-12-14 13:26:20,2019-12-14 13:26:38,否
85072,sys-2019-322516335,user-249468,PR000419,1881.31,1721.46,渠道-0568,APP ,2019-11-08 20:34:49,2019-11-08 20:35:07,否
97982,sys-2019-355351855,user-132751,PR000973,1154.29,1144.29,渠道-0318,ALiM P,2019-12-13 18:03:44,2019-12-13 18:06:42,否
5485,sys-2019-330881385,user-113642,PR000369,569.5,569.5,渠道-0530,ALiM P,2019-01-27 08:22:04,2019-01-27 08:22:55,否
13866,sys-2019-370213085,user-155042,PR000724,289.04,250.57,渠道-0283,Wech atMP,2019-03-14 19:05:17,2019-03-14 19:05:25,否
60292,sys-2019-310159346,user-126168,PR000465,2466.52,2466.52,渠道-0896,Wech atMP,2019-08-20 14:28:14,2019-08-20 14:29:38,是
42234,sys-2019-317891273,user-166438,PR000418,496.4,4879.400316039231,渠道-0568,APP ,2019-06-24 14:19:29,2019-06-24 14:19:40,否
9601,sys-2019-281836109,user-148742,PR000877,638.7,613.15,渠道-0330,AP P ,2019-02-19 13:29:51,2019-02-19 13:31:51,否
24774,sys-2019-281689810,user-254969,PR000613,499.79,453.44,渠道-0789,AP P ,2019-05-02 15:53:13,2019-05-02 15:56:33,否
82907,sys-2019-249842682,user-236265,PR000692,223.37,176.1,渠道-0765,APP ,2019-11-02 16:37:36,2019-11-02 16:37:52,否
72405,sys-2019-224535449,user-205387,PR000499,761.28,761.28,渠道-9527,AP P ,2019-09-28 19:30:54,2019-09-28 19:31:05,否
101639,sys-2019-369806052,user-196240,PR000620,1993.54,1966.18,渠道-0007,WEB ,2019-12-23 20:46:53,2019-12-23 20:47:07,否
76189,sys-2019-239671654,user-261623,PR000697,361.69,323.16,渠道-0283,Wech atMP,2019-10-10 14:02:14,2019-10-10 14:04:15,否
60052,sys-2019-256533002,user-186074,PR000001,1018.55,997.67,渠道-9527,WEB ,2019-08-19 20:52:14,2019-08-19 20:52:33,
22074,sys-2019-348535857,user-236778,PR000920,3826.68,3795.26,渠道-0568,WEB ,2019-04-20 22:17:37,2019-04-20 22:17:46,否
51823,sys-2019-278113200,user-197875,PR000834,234.47,151.64,渠道-0168,APP ,2019-07-25 08:38:07,2019-07-25 08:40:21,否
82732,sys-2019-345405812,user-138784,PR000938,575.84,538.06,渠道-9527,Wech atMP,2019-11-02 12:15:52,2019-11-02 12:16:05,否
61252,sys-2019-236847370,user-160395,PR000500,595.94,514.73,渠道-0896,Wech atMP,2019-08-23 12:27:11,2019-08-23 12:27:38,否
81504,sys-2019-237817263,user-109206,PR000914,344.26,322.38,渠道-0283,Wech atMP,2019-10-28 16:38:49,2019-10-28 16:39:02,否
1473,sys-2019-402544131,user-284240,PR000582,861.15,643.31,渠道-0530,Wech atMP,2019-01-05 16:41:28,2019-01-05 16:41:55,否
6664,sys-2019-379866199,user-189177,PR000634,688.87,688.87,渠道-9527,Wech atMP,2019-02-02 12:01:45,2019-02-02 12:02:03,否
25152,sys-2019-277588448,user-132726,PR000132,706.94,706.94,渠道-0191,APP ,2019-05-04 13:07:27,2019-05-04 13:07:47,否
89011,sys-2019-295564266,user-239386,PR000895,342.64,248.31,渠道-0896,Wech atMP,2019-11-19 12:40:18,2019-11-19 12:40:29,否
80714,sys-2019-260580898,user-201900,PR000879,471.92,195.24,渠道-0396,APP ,2019-10-26 12:52:50,2019-10-26 12:55:21,否
84438,sys-2019-264936977,user-282419,PR000167,1124.32,1059.81,渠道-0191,WEB ,2019-11-06 22:22:03,2019-11-06 22:22:32,否
92839,sys-2019-291434785,user-113172,PR000845,216.87,190.51,渠道-0396,APP ,2019-11-29 17:53:47,2019-11-29 17:54:36,否
77536,sys-2019-244753330,user-104517,PR000890,1924.91,1924.91,渠道-0985,APP ,2019-10-14 23:02:27,2019-10-14 23:03:24,否
89035,sys-2019-297923806,user-289319,PR000148,252.73,220.68,渠道-0530,WEB ,2019-11-19 13:14:59,2019-11-19 13:15:18,否
76633,sys-2019-256359048,user-155697,PR000702,2515.52,2515.52,渠道-0896,WEB ,2019-10-12 15:31:39,2019-10-12 16:11:46,否
75123,sys-2019-281862422,user-174633,PR000724,306.1,251.28,渠道-0985,WEB ,2019-10-07 08:02:32,2019-10-07 08:02:45,否
18474,sys-2019-299618146,user-164772,PR000706,2110.84,2079.15,渠道-0530,Wech atMP,2019-04-04 23:13:36,2019-04-04 23:13:56,否
32649,sys-2019-375865984,user-130286,PR000174,320.75,320.75,渠道-0396,APP ,2019-05-28 13:58:17,2019-05-28 13:58:59,否
37068,sys-2019-357677506,user-162673,PR000432,781.61,7743.838580400065,渠道-0896,WEB ,2019-06-09 20:46:58,2019-06-09 20:47:47,否
92918,sys-2019-351670029,user-183066,PR000945,1649.77,1594.21,渠道-0465,APP ,2019-11-29 20:55:11,2019-11-29 20:55:34,否
101187,sys-2019-351853700,user-235487,PR000756,283.09,283.09,渠道-0789,Wech atMP,2019-12-22 16:08:46,2019-12-22 16:09:20,否
58644,sys-2019-277144793,user-195989,PR000782,305.93,305.93,渠道-0283,APP ,2019-08-16 10:48:30,2019-08-16 10:48:41,否
10806,sys-2019-279537431,user-298367,PR000960,2290.98,2274.34,渠道-0896,AP P ,2019-02-25 18:58:39,2019-02-25 18:58:49,否
55042,sys-2019-253320062,user-187781,PR000960,170.96,170.96,渠道-0168,Wech atMP,2019-08-03 14:35:53,2019-08-03 14:37:51,
47489,sys-2019-269834218,user-153953,PR000850,692.02,604.79,渠道-0007,APP ,2019-07-10 13:57:35,2019-07-10 13:59:08,否
97634,sys-2019-320579166,user-123824,PR000148,383.24,347.21,渠道-0168,We c hatMP,2019-12-12 14:28:58,2019-12-12 14:29:08,否
99601,sys-2019-317332518,user-139946,PR000144,1025.46,1004.1,渠道-9527,APP ,2019-12-18 12:24:45,2019-12-18 12:24:57,否
50765,sys-2019-271402866,user-157921,PR000340,480.11,480.11,渠道-0530,APP ,2019-07-21 20:26:58,2019-07-21 20:27:37,否
103795,sys-2019-292144559,user-135033,PR000763,508.68,508.68,渠道-0985,Wech atMP,2019-12-30 09:58:16,2019-12-30 09:58:32,否
101671,sys-2019-303651377,user-179493,PR000959,571.43,571.43,渠道-9527,APP ,2019-12-23 22:17:30,2019-12-23 22:18:09,否
20089,sys-2019-213796147,user-124075,PR000456,2028.67,1991.56,渠道-0896,Wech atMP,2019-04-12 18:38:47,2019-04-12 18:39:32,否
65229,sys-2019-230238759,user-264174,PR000164,360.59,360.59,渠道-0283,Wech atMP,2019-09-04 17:11:21,2019-09-04 17:11:58,否
30629,sys-2019-247826602,user-204043,PR000958,1145.43,1089.87,渠道-0396,We c hatMP,2019-05-21 20:50:55,2019-05-21 20:51:14,否
41182,sys-2019-296699484,user-144325,PR000762,537.67,537.67,渠道-0530,AP P ,2019-06-21 11:37:19,2019-06-21 11:42:58,否
15564,sys-2019-340780878,user-175969,PR000635,498.35,498.35,渠道-0568,AP P ,2019-03-23 12:04:01,2019-03-23 12:47:57,否
60103,sys-2019-340859076,user-194419,PR000044,1515.48,1515.48,渠道-0530,APP ,2019-08-19 22:49:09,2019-08-19 22:55:43,否
65026,sys-2019-289266749,user-176797,PR000907,3121.44,2798.18,渠道-0896,Wech atMP,2019-09-03 20:54:49,2019-09-03 20:55:47,是
58030,sys-2019-248554612,user-216133,PR000525,178.46,178.46,渠道-0896,ALiM P,2019-08-14 14:00:48,2019-08-14 14:00:57,否
7435,sys-2019-345757908,user-150004,PR000644,319.29,283.81,渠道-0530,APP ,2019-02-07 08:52:30,2019-02-07 08:52:49,否
97528,sys-2019-253310764,user-218793,PR000391,726.0,706.92,渠道-0191,APP ,2019-12-12 11:56:56,2019-12-12 11:57:10,是
9712,sys-2019-334029065,user-266352,PR000351,2440.84,2405.5,渠道-0896,Wech atMP,2019-02-19 21:55:26,2019-02-19 21:55:51,否
50140,sys-2019-236659158,user-159658,PR000008,175.11,175.11,渠道-9527,Wech atMP,2019-07-19 17:26:10,2019-07-19 17:26:29,否
87483,sys-2019-290210040,user-125605,PR000289,675.51,675.51,渠道-0985,WEB ,2019-11-15 18:08:32,2019-11-15 18:08:41,否
93548,sys-2019-334279472,user-194865,PR000802,703.62,703.62,渠道-0765,APP ,2019-12-01 12:00:33,2019-12-01 12:01:14,否
64405,sys-2019-246321286,user-114751,PR000377,,,渠道-0985,Wech atMP,2019-09-02 14:25:48,2019-09-02 14:26:00,否
102006,sys-2019-318802546,user-175411,PR000950,380.42,338.99,渠道-0396,WEB ,2019-12-25 02:54:56,2019-12-25 02:56:11,否
20229,sys-2019-392121800,user-244596,PR000724,288.41,288.41,渠道-0318,APP ,2019-04-13 13:30:26,2019-04-13 13:32:12,否
26608,sys-2019-275130842,user-107234,PR000987,1074.9,1066.22,渠道-0530,APP ,2019-05-08 23:53:09,2019-05-08 23:53:57,是
11460,sys-2019-328448549,user-216510,PR000377,391.4,391.4,渠道-0985,APP ,2019-03-01 03:46:11,2019-03-01 03:46:24,否
21067,sys-2019-262837230,user-116713,PR000200,755.08,755.08,渠道-0896,Wech atMP,2019-04-16 12:48:32,2019-04-16 12:48:46,否
35672,sys-2019-338509152,user-173009,PR000945,4036.65,4031.11,渠道-0530,Wech atMP,2019-06-05 22:15:26,2019-06-05 22:15:39,是
67548,sys-2019-264478795,user-139848,PR000726,855.48,846.45,渠道-0007,APP ,2019-09-11 13:00:35,2019-09-11 13:00:50,是
24727,sys-2019-214127001,user-181884,PR000823,974.75,946.08,渠道-0396,We c hatMP,2019-05-02 14:17:13,2019-05-02 14:17:29,否
9489,sys-2019-343051766,user-284424,PR000111,5334.59,5334.59,渠道-0896,APP ,2019-02-18 15:43:13,2019-02-18 15:48:49,否
29404,sys-2019-290227269,user-178208,PR000630,397.63,3724.763792964994,渠道-0765,AP P ,2019-05-18 15:40:10,2019-05-18 15:40:52,否
34056,sys-2019-283081195,user-147103,PR000354,561.91,517.55,渠道-9527,ALiM P,2019-06-01 17:07:50,2019-06-01 17:08:44,否
44453,sys-2019-339962383,user-151096,PR000031,1167.99,1056.17,渠道-0530,APP ,2019-06-30 15:07:10,2019-06-30 15:07:21,否
27775,sys-2019-276966457,user-197947,PR000126,1987.46,1987.46,渠道-0318,We c hatMP,2019-05-13 20:13:32,2019-05-13 20:13:50,否
27349,sys-2019-291688031,user-202725,PR000527,190.91,190.91,渠道-0985,WE B ,2019-05-12 13:42:52,2019-05-12 13:45:21,否
31119,sys-2019-280683486,user-209811,PR000627,279.13,31.13,渠道-0283,We c hatMP,2019-05-22 22:43:00,2019-05-22 22:43:10,否
